CO_IES;NO;NE;CO;SUL;SE;CO_TURNO_ALUNO;CO_TURNO_MATUTINO;CO_TURNO_VESPERTINO;CO_TURNO_NOTURNO;CO_TURNO_INTEGRAL;CO_TURNO_N_INF;CO_ALUNO;CO_ALUNO_SITUACAO;CO_ALUNO_EVASAO;CO_ALUNO_FORMADO;NO_EVENTO;EVENTO;CO_ALUNO_CEN;CO_COR_RACA_ALUNO;IN_SEXO_ALUNO;NU_IDADE_ALUNO;IN_ALUNO_DEFICIENCIA;IN_DEF_AUDITIVA;IN_DEF_FISICA;IN_DEF_MENTAL;IN_DEF_MULTIPLA;IN_SURDEZ;IN_SURDOCEGUEIRA;IN_BAIXA_VISAO;IN_CEGUEIRA;IN_ATIVIDADE_COMPLEMENTAR;IN_RESERVA_VAGAS;IN_ING_CONVENIO_PECG;IN_RESERVA_ETNICO;IN_RESERVA_DEFICIENCIA;IN_RESERVA_ENSINO_PUBLICO;IN_RESERVA_RENDA_FAMILIAR;IN_RESERVA_OUTROS;IN_APOIO_SOCIAL;IN_APOIO_ALIMENTACAO;IN_APOIO_BOLSA_PERMANENCIA;IN_APOIO_BOLSA_TRABALHO;IN_APOIO_MATERIAL_DIDATICO;IN_APOIO_MORADIA;IN_APOIO_TRANSPORTE;IN_ATIV_ESTAG_N_OBRIG_NAO_REM;IN_ATIV_EXTENSAO_NAO_REM;IN_ATIV_MONITORIA_NAO_REM;IN_ATIV_PESQUISA_NAO_REM;IN_ATIV_ESTAG_N_OBRIG_REM;IN_ATIV_EXTENSAO_REM;IN_ATIV_MONITORIA_REM;IN_ATIV_PESQUISA_REM;ANO_INGRESSO;ANO_BASE;TEMPO;IN_DEF_SUPERDOTACAO;IN_TGD_AUTISMO_INFANTIL;IN_TGD_SINDROME_ASPERGER;IN_TGD_SINDROME_RETT;IN_TGD_TRANSTOR_DESINTEGRATIVO;T1;T2;T3;T4;T5;T6;T7;T8;T9
571;0;0;0;1;0;3;0;0;1;0;0;400001360254;4;1;0;Evadido;1;1;0;0;21;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
26;0;0;0;0;1;9;0;0;0;0;1;400001392951;4;1;0;Evadido;1;1;1;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
571;0;0;0;1;0;3;0;0;1;0;0;400001458855;4;1;0;Evadido;1;1;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
571;0;0;0;1;0;3;0;0;1;0;0;400001474299;4;1;0;Evadido;1;1;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
571;0;0;0;1;0;3;0;0;1;0;0;400001486343;4;1;0;Evadido;1;1;9;1;30;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
579;0;1;0;0;0;1;1;0;0;0;0;400001512051;4;1;0;Evadido;1;1;1;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
26;0;0;0;0;1;9;0;0;0;0;1;400001559173;4;1;0;Evadido;1;1;9;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
571;0;0;0;1;0;3;0;0;1;0;0;400001586346;4;1;0;Evadido;1;1;1;0;27;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
571;0;0;0;1;0;3;0;0;1;0;0;400001690609;4;1;0;Evadido;1;1;0;0;46;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
26;0;0;0;0;1;9;0;0;0;0;1;400001995063;4;1;0;Evadido;1;1;0;1;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
571;0;0;0;1;0;3;0;0;1;0;0;400002318860;4;1;0;Evadido;1;1;1;1;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
571;0;0;0;1;0;3;0;0;1;0;0;400002319135;4;1;0;Evadido;1;1;9;0;20;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
571;0;0;0;1;0;3;0;0;1;0;0;400002319143;4;1;0;Evadido;1;1;0;1;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2009;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
